"TIME","GEO","CROP_PRO","STRUCPRO","Value","Flag and Footnotes"
"2005","Norway","ha: Rape and turnip","Total","6 690",""
"2005","Norway","ha: Sunflower","Total","0",""
"2005","Norway","ha: Soya","Total","0",""
"2005","Norway","ha:  Other oil-seed or fibre crops","Total","0",""
"2005","Norway","ha: Outdoor: Flowers and ornemental plants","Total","0",""
"2005","Norway","ha: Under glass: Flowers and ornemental plants","Total","110",""
"2005","Norway","ha: Fodder crops - total","Total","259 060",""
"2005","Norway","ha: Fodder crops - temporary grass","Total","244 530",""
"2005","Norway","ha: Total: Other green fodder: Fodder crops","Total","14 530",""
"2005","Norway","ha: Green maize: Other green fodder: Fodder crops","Total","0",""
"2005","Norway","ha: Other fodder crops: leguminous plants: Fodder crops","Total",":",""
"2005","Oslo og Akershus","ha: Utilised agricultural area","Total","80 230",""
"2005","Oslo og Akershus","ha: Arable land","Total","74 160",""
"2005","Oslo og Akershus","ha: Common wheat and spelt","Total","15 280",""
"2005","Oslo og Akershus","ha: Durum wheat","Total","0",""
"2005","Oslo og Akershus","ha: Rye","Total","1 200",""
"2005","Oslo og Akershus","ha: Barley","Total","24 470",""
"2005","Oslo og Akershus","ha: Oats","Total","22 050",""
"2005","Oslo og Akershus","ha: Grain maize","Total","0",""
"2005","Oslo og Akershus","ha: Rice","Total","0",""
"2005","Oslo og Akershus","ha: Other cereals","Total","0",""
"2005","Oslo og Akershus","ha: Pulses - total","Total","0",""
"2005","Oslo og Akershus","ha: Potatoes","Total","570",""
"2005","Oslo og Akershus","ha: Sugar beet","Total","0",""
"2005","Oslo og Akershus","ha: Fodder roots and brassicas","Total","0",""
"2005","Oslo og Akershus","ha: Industrial crops - total","Total","1 830",""
"2005","Oslo og Akershus","ha: Tobacco","Total","0",""
"2005","Oslo og Akershus","ha: Hops","Total","0",""
"2005","Oslo og Akershus","ha: Cotton","Total","0",""
"2005","Oslo og Akershus","ha: Rape and turnip","Total","1 830",""
"2005","Oslo og Akershus","ha: Sunflower","Total","0",""
"2005","Oslo og Akershus","ha: Soya","Total","0",""
"2005","Oslo og Akershus","ha:  Other oil-seed or fibre crops","Total","0",""
"2005","Oslo og Akershus","ha: Outdoor: Flowers and ornemental plants","Total","0",""
"2005","Oslo og Akershus","ha: Under glass: Flowers and ornemental plants","Total","10",""
"2005","Oslo og Akershus","ha: Fodder crops - total","Total","7 240",""
"2005","Oslo og Akershus","ha: Fodder crops - temporary grass","Total","6 600",""
"2005","Oslo og Akershus","ha: Total: Other green fodder: Fodder crops","Total","640",""
"2005","Oslo og Akershus","ha: Green maize: Other green fodder: Fodder crops","Total","0",""
"2005","Oslo og Akershus","ha: Other fodder crops: leguminous plants: Fodder crops","Total",":",""
"2005","Hedmark og Oppland","ha: Utilised agricultural area","Total","212 480",""
"2005","Hedmark og Oppland","ha: Arable land","Total","153 480",""
"2005","Hedmark og Oppland","ha: Common wheat and spelt","Total","11 820",""
"2005","Hedmark og Oppland","ha: Durum wheat","Total","0",""
"2005","Hedmark og Oppland","ha: Rye","Total","800",""
"2005","Hedmark og Oppland","ha: Barley","Total","49 790",""
"2005","Hedmark og Oppland","ha: Oats","Total","18 960",""
"2005","Hedmark og Oppland","ha: Grain maize","Total","0",""
"2005","Hedmark og Oppland","ha: Rice","Total","0",""
"2005","Hedmark og Oppland","ha: Other cereals","Total","160",""
"2005","Hedmark og Oppland","ha: Pulses - total","Total","0",""
"2005","Hedmark og Oppland","ha: Potatoes","Total","6 120",""
"2005","Hedmark og Oppland","ha: Sugar beet","Total","0",""
"2005","Hedmark og Oppland","ha: Fodder roots and brassicas","Total","0",""
"2005","Hedmark og Oppland","ha: Industrial crops - total","Total","710",""
"2005","Hedmark og Oppland","ha: Tobacco","Total","0",""
"2005","Hedmark og Oppland","ha: Hops","Total","0",""
"2005","Hedmark og Oppland","ha: Cotton","Total","0",""
"2005","Hedmark og Oppland","ha: Rape and turnip","Total","710",""
"2005","Hedmark og Oppland","ha: Sunflower","Total","0",""
"2005","Hedmark og Oppland","ha: Soya","Total","0",""
"2005","Hedmark og Oppland","ha:  Other oil-seed or fibre crops","Total","0",""
"2005","Hedmark og Oppland","ha: Outdoor: Flowers and ornemental plants","Total","0",""
"2005","Hedmark og Oppland","ha: Under glass: Flowers and ornemental plants","Total","10",""
"2005","Hedmark og Oppland","ha: Fodder crops - total","Total","62 620",""
"2005","Hedmark og Oppland","ha: Fodder crops - temporary grass","Total","57 290",""
"2005","Hedmark og Oppland","ha: Total: Other green fodder: Fodder crops","Total","5 330",""
"2005","Hedmark og Oppland","ha: Green maize: Other green fodder: Fodder crops","Total","0",""
"2005","Hedmark og Oppland","ha: Other fodder crops: leguminous plants: Fodder crops","Total",":",""
"2005","Sør-Østlandet","ha: Utilised agricultural area","Total","197 850",""
"2005","Sør-Østlandet","ha: Arable land","Total","165 220",""
"2005","Sør-Østlandet","ha: Common wheat and spelt","Total","52 380",""
"2005","Sør-Østlandet","ha: Durum wheat","Total","0",""
"2005","Sør-Østlandet","ha: Rye","Total","4 800",""
"2005","Sør-Østlandet","ha: Barley","Total","37 140",""
"2005","Sør-Østlandet","ha: Oats","Total","28 400",""
"2005","Sør-Østlandet","ha: Grain maize","Total","0",""
"2005","Sør-Østlandet","ha: Rice","Total","0",""
"2005","Sør-Østlandet","ha: Other cereals","Total","40",""
"2005","Sør-Østlandet","ha: Pulses - total","Total","0",""
"2005","Sør-Østlandet","ha: Potatoes","Total","2 950",""
"2005","Sør-Østlandet","ha: Sugar beet","Total","0",""
"2005","Sør-Østlandet","ha: Fodder roots and brassicas","Total","0",""
"2005","Sør-Østlandet","ha: Industrial crops - total","Total","4 110",""
"2005","Sør-Østlandet","ha: Tobacco","Total","0",""
"2005","Sør-Østlandet","ha: Hops","Total","0",""
"2005","Sør-Østlandet","ha: Cotton","Total","0",""
"2005","Sør-Østlandet","ha: Rape and turnip","Total","4 110",""
"2005","Sør-Østlandet","ha: Sunflower","Total","0",""
"2005","Sør-Østlandet","ha: Soya","Total","0",""
"2005","Sør-Østlandet","ha:  Other oil-seed or fibre crops","Total","0",""
"2005","Sør-Østlandet","ha: Outdoor: Flowers and ornemental plants","Total","0",""
"2005","Sør-Østlandet","ha: Under glass: Flowers and ornemental plants","Total","30",""
"2005","Sør-Østlandet","ha: Fodder crops - total","Total","27 360",""
"2005","Sør-Østlandet","ha: Fodder crops - temporary grass","Total","25 360",""
"2005","Sør-Østlandet","ha: Total: Other green fodder: Fodder crops","Total","2 000",""
